artist_name,edition_number,year,artist_nationality,artist_nationality_other,artist_gender,artist_race,artist_ethnicity,book,space_ratio_per_page_total,artist_unique_id
Camille Pissarro,12,2005,Danish-French,Other,Male,White,Not Hispanic or Latinx,gardner,0.2169053918,57
Camille Pissarro,13,2009,Danish-French,Other,Male,White,Not Hispanic or Latinx,gardner,0.3066894734,57
Camille Pissarro,14,2013,Danish-French,Other,Male,White,Not Hispanic or Latinx,gardner,0.3363690999,57
Camille Pissarro,15,2016,Danish-French,Other,Male,White,Not Hispanic or Latinx,gardner,0.39152621,57
Camille Pissarro,16,2020,Danish-French,Other,Male,White,Not Hispanic or Latinx,gardner,0.3666237113,57
Cândido Portinari,3,1948,Brazilian,Other,Male,White,Not Hispanic or Latinx,gardner,0.4793401927,58
Carrie Mae Weems,15,2016,American,American,Female,Black or African American,Not Hispanic or Latinx,gardner,0.3204577084,60
Carrie Mae Weems,16,2020,American,American,Female,Black or African American,Not Hispanic or Latinx,gardner,0.375490918,60
Caspar David Friedrich,5,1970,German,German,Male,White,Not Hispanic or Latinx,gardner,0.3215038837,61
Caspar David Friedrich,6,1975,German,German,Male,White,Not Hispanic or Latinx,gardner,0.3260335434,61
Caspar David Friedrich,7,1980,German,German,Male,White,Not Hispanic or Latinx,gardner,0.3808049536,61
Caspar David Friedrich,8,1986,German,German,Male,White,Not Hispanic or Latinx,gardner,0.4015481374,61
Caspar David Friedrich,9,1991,German,German,Male,White,Not Hispanic or Latinx,gardner,0.3950040552,61
Caspar David Friedrich,10,1996,German,German,Male,White,Not Hispanic or Latinx,gardner,0.4398212885,61
Caspar David Friedrich,11,2001,German,German,Male,White,Not Hispanic or Latinx,gardner,0.343425248,61
Caspar David Friedrich,12,2005,German,German,Male,White,Not Hispanic or Latinx,gardner,0.3363744184,61
Caspar David Friedrich,13,2009,German,German,Male,White,Not Hispanic or Latinx,gardner,0.3744471669,61
Caspar David Friedrich,14,2013,German,German,Male,White,Not Hispanic or Latinx,gardner,0.6699027630000001,61
Caspar David Friedrich,15,2016,German,German,Male,White,Not Hispanic or Latinx,gardner,0.7710066491,61
Caspar David Friedrich,16,2020,German,German,Male,White,Not Hispanic or Latinx,gardner,0.7095913107,61
Charles Demuth,4,1959,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3568812281,63
Charles Demuth,11,2001,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4036519839,63
Charles Demuth,12,2005,American,American,Male,White,Not Hispanic or Latinx,gardner,0.27172095,63
Charles Demuth,13,2009,American,American,Male,White,Not Hispanic or Latinx,gardner,0.2737275207,63
Charles Demuth,14,2013,American,American,Male,White,Not Hispanic or Latinx,gardner,0.2808931626,63
Charles Demuth,15,2016,American,American,Male,White,Not Hispanic or Latinx,gardner,0.7579557755,63
