Yearof Publication,Artist,CountToDate,TotalAreaText(cm^2)
,Stanley T. Clough,1,
,Stanley Spencer,1,
,Stanley Brouwn,1,
,Stanislav Duda,1,
,Stanford Anderson,1,
,Stane Abe,1,
,Standard and Poor,1,
,Stan Smokler,1,
,Stan Peskett,1,
,Stan Douglas,1,
,Stan Brakhage,1,
,Stacy Benjamin,1,
,Stacey Spiegel,1,
,St. Clair Bourne,1,
,Spring Hurlbut,1,
,Spencer Holst,1,
,Sou Fujimoto,1,
,Soro Deguchi,1,
,Sorel Cohen,1,
,Sophie Taeuber-Arp,1,
,Sophie Maslow,1,
,Sophie Calle,1,
,Sophie Alex,1,
,Sophia Al Maria,1,
,Sonia Landy Sheridan,1,
,Sonia Gechtoff,1,
,Sonia Delaunay-Terk,1,
,Sonia Balassanian,1,
,Sonia Andrade,1,
,Sondra Beal,1,
,Solid Objectives-Idenburg Liu,1,
,Sol'Sax,1,
,Sol LeWitt,1,
,Sofia Nicoletti,1,
,Sofia Hultén,1,
,Sofia Borges,1,
,Slavs and Tatars,1,
,Slater Bradley,1,
,Skip La Plante,1,
,Skip Blumberg,1,
,Skidmore Owings & Merrill,1,
,Sister Karen Boccalero,1,
,Sissel Tolaas,1,
,Sir William Lyons,1,
,Sir Charles Barry,1,
,Sincerely Yours Escorts,1,
,Simone Forti,1,
,Simone Fattal,1,
,Simon Leigh,1,
,Simon Denny,1,
,Simin Farkhondeh,1,
,Silvie Defraoui,1,
,Silvia Benedito,1,
,Sigurd Lewerentz,1,
,Sigmar Polke,1,
,Sigalit Landau,1,
,Sid Grossman,1,
,Siah Armajani,1,
,Shusaku Arakawa,1,
,Shuji Ariyoshi,1,
,Shoshana Dentz,1,
,SHoP Architects PC,1,
,Shoichiro Azuma,1,
,Shirley Clarke,1,
,Shirley C. Burden,1,
,Shirana Shahbazi,1,
,Shimon Attie,1,
,Shilpa Gupta,1,
,Shigeru Ban,1,
,Shigeo Fukuda,1,
,Shigeo Anzai,1,
,Shigeko Kubota,1,
2001,Sherrie Levine,1,54.9
,Sheron Rupp,1,
,Sherman Fleming,1,
,Sherman Drexler,1,
,Sherko Abbas,1,
,Shelley Hirsch,1,
,Sheldon Cohen,1,
,Sheila Hicks,1,
,Sheila Berkley,1,
,Shay Alkalay,1,
,Shawn Allen,1,
,Shaun Cailey,1,
,Sharon Hayes,1,
,Sharaku Toshusai,1,
,Shannon Ebner,1,
,Shane Cullen,1,
,Shalom Gorewitz,1,
,Shalom Aleichem (Solomon Rabinowitz),1,
,Seymour Lipton,1,
,Seymour Drumlevitch,1,
,Seung-young Kim,1,
,Seth Kelly,1,
,Serreck Wilson,1,
,Sérgio Bernardes,1,
,Sergej Jensen,1,
,Sergei Bugaev,1,
,Sergei Anufriev,1,
,Sergei Andrievskiy,1,
,Serge Vandercam,1,
,Serge Spitzer,1,
,Serge Legat,1,
,Serge Chermayeff,1,
,Serge Brignoni,1,
,Serena Bocchino,1,
,Séraphine Louis,1,
,Senta Driver,1,
,Senam Okudzeto,1,
,Seiji Chokai,1,
,Sebastian Bergne,1,
,Sebastiaan Bremer,1,
,Sean Scully,1,
,Sean Keller,1,
,Scott Pfaffman,1,
,Scott McFarland,1,
,Scott Marble,1,
,Scott Gilliam,1,
,Scott Davis,1,
,Scott Burton,1,
,Scott Belville,1,
,Scott B,1,
,Scot Gresham-Lancaster,1,
,Saul Steinberg,1,
,Saul Ostrow,1,
,Saul Melman,1,
,Saul Bass,1,
,Saul Baizerman,1,
,Satish Gujral,1,
,Sascha Braunig,1,
